date,currency_code,rate
2002-01-02,AUD,2.0227
2002-01-02,ATS,0.258
2002-01-02,BEF,0.087992
2002-01-02,CZK,0.1125
2002-01-02,DKK,0.4772
2002-01-02,EEK,0.2269
2002-01-02,FIM,0.597
2002-01-02,FRF,0.5411
2002-01-02,GRD,0.010417
2002-01-02,ESP,0.021334
2002-01-02,NLG,1.6107
2002-01-02,IEP,4.5071
2002-01-02,JPY,0.029991
2002-01-02,CAD,2.4728
2002-01-02,LUF,0.087992
2002-01-02,NOK,0.4431
2002-01-02,PTE,0.017705
2002-01-02,EUR,3.5496
2002-01-02,USD,3.948
2002-01-02,CHF,2.3915
2002-01-02,SEK,0.3841
2002-01-02,HUF,0.014511
2002-01-02,GBP,5.7275
2002-01-02,ITL,0.001833
2002-01-02,EUR,3.5496
2002-01-02,XDR,5.0573
2002-01-03,AUD,2.0415
2002-01-03,ATS,0.2594
2002-01-03,BEF,0.088496
2002-01-03,CZK,0.1125
2002-01-03,DKK,0.48
2002-01-03,EEK,0.2281
2002-01-03,FIM,0.6004
2002-01-03,FRF,0.5442
2002-01-03,GRD,0.010477
2002-01-03,ESP,0.021456
2002-01-03,NLG,1.6199
2002-01-03,IEP,4.5328
2002-01-03,JPY,0.030021
2002-01-03,CAD,2.48
2002-01-03,LUF,0.088496
2002-01-03,NOK,0.445
2002-01-03,PTE,0.017807
2002-01-03,EUR,3.5699
2002-01-03,USD,3.9574
2002-01-03,CHF,2.4034
2002-01-03,SEK,0.3857
2002-01-03,HUF,0.014568
2002-01-03,GBP,5.7091
2002-01-03,ITL,0.001844
2002-01-03,EUR,3.5699
2002-01-03,XDR,4.9883
2002-01-04,AUD,2.0379
2002-01-04,ATS,0.2569
2002-01-04,BEF,0.08762
2002-01-04,CZK,0.1106
2002-01-04,DKK,0.4752
2002-01-04,EEK,0.226
2002-01-04,FIM,0.5945
2002-01-04,FRF,0.5388
2002-01-04,GRD,0.010373
2002-01-04,ESP,0.021243
2002-01-04,NLG,1.6039
2002-01-04,IEP,4.488
2002-01-04,JPY,0.030073
2002-01-04,CAD,2.4668
2002-01-04,LUF,0.08762
2002-01-04,NOK,0.4419
2002-01-04,PTE,0.017631
2002-01-04,EUR,3.5346
2002-01-04,USD,3.9383
2002-01-04,CHF,2.3895
2002-01-04,SEK,0.3822
2002-01-04,HUF,0.014436
2002-01-04,GBP,5.6681
2002-01-04,ITL,0.001825
2002-01-04,EUR,3.5346
2002-01-04,XDR,4.9429
2002-01-07,AUD,2.0317
2002-01-07,ATS,0.2546
2002-01-07,BEF,0.086842
2002-01-07,CZK,0.109
2002-01-07,DKK,0.4708
2002-01-07,EEK,0.2238
2002-01-07,FIM,0.5892
2002-01-07,FRF,0.5341
2002-01-07,GRD,0.010281
2002-01-07,ESP,0.021055
2002-01-07,NLG,1.5897
2002-01-07,IEP,4.4481
2002-01-07,JPY,0.029904
2002-01-07,CAD,2.451
2002-01-07,LUF,0.086842
2002-01-07,NOK,0.4389
2002-01-07,PTE,0.017474
2002-01-07,EUR,3.5032
2002-01-07,USD,3.9079
2002-01-07,CHF,2.3726
2002-01-07,SEK,0.38
2002-01-07,HUF,0.014384
2002-01-07,GBP,5.6362
2002-01-07,ITL,0.001809
2002-01-07,EUR,3.5032
2002-01-07,XDR,4.9318
2002-01-08,AUD,2.0478
2002-01-08,ATS,0.2545
2002-01-08,BEF,0.0868
2002-01-08,CZK,0.1086
2002-01-08,DKK,0.4707
2002-01-08,EEK,0.2237
2002-01-08,FIM,0.5889
2002-01-08,FRF,0.5338
2002-01-08,GRD,0.010276
2002-01-08,ESP,0.021044
2002-01-08,NLG,1.5889
2002-01-08,IEP,4.446
2002-01-08,JPY,0.0297
2002-01-08,CAD,2.4568
2002-01-08,LUF,0.0868
2002-01-08,NOK,0.44
2002-01-08,PTE,0.017465
2002-01-08,EUR,3.5015
2002-01-08,USD,3.9322
2002-01-08,CHF,2.3813
2002-01-08,SEK,0.3789
2002-01-08,HUF,0.014301
2002-01-08,GBP,5.6709
2002-01-08,ITL,0.001808
2002-01-08,EUR,3.5015
2002-01-08,XDR,4.9398
2002-01-09,AUD,2.0801
2002-01-09,ATS,0.2574
2002-01-09,BEF,0.087796
2002-01-09,CZK,0.1096
2002-01-09,DKK,0.4761
2002-01-09,EEK,0.2263
2002-01-09,FIM,0.5957
2002-01-09,FRF,0.5399
2002-01-09,GRD,0.010394
2002-01-09,ESP,0.021286
2002-01-09,NLG,1.6072
2002-01-09,IEP,4.497
2002-01-09,JPY,0.029918
2002-01-09,CAD,2.4874
2002-01-09,LUF,0.087796
2002-01-09,NOK,0.4449
2002-01-09,PTE,0.017666
2002-01-09,EUR,3.5417
2002-01-09,USD,3.9667
2002-01-09,CHF,2.3951
2002-01-09,SEK,0.3813
2002-01-09,HUF,0.014506
2002-01-09,GBP,5.712
2002-01-09,ITL,0.001829
2002-01-09,EUR,3.5417
2002-01-09,XDR,4.9928
2002-01-10,AUD,2.087
2002-01-10,ATS,0.2571
2002-01-10,BEF,0.087695
2002-01-10,CZK,0.1101
2002-01-10,DKK,0.4759
2002-01-10,EEK,0.2262
2002-01-10,FIM,0.595
2002-01-10,FRF,0.5393
2002-01-10,GRD,0.010382
2002-01-10,ESP,0.021261
2002-01-10,NLG,1.6053
2002-01-10,IEP,4.4918
2002-01-10,JPY,0.029895
2002-01-10,CAD,2.4795
2002-01-10,LUF,0.087695
2002-01-10,NOK,0.4446
2002-01-10,PTE,0.017645
2002-01-10,EUR,3.5376
2002-01-10,USD,3.9637
2002-01-10,CHF,2.3863
2002-01-10,SEK,0.3836
2002-01-10,HUF,0.014516
2002-01-10,GBP,5.7155
2002-01-10,ITL,0.001827
2002-01-10,EUR,3.5376
2002-01-10,XDR,4.9876
2002-01-11,AUD,2.1164
2002-01-11,ATS,0.2627
2002-01-11,BEF,0.089618
2002-01-11,CZK,0.1122
2002-01-11,DKK,0.4864
2002-01-11,EEK,0.2311
2002-01-11,FIM,0.608
2002-01-11,FRF,0.5511
2002-01-11,GRD,0.01061
2002-01-11,ESP,0.021728
2002-01-11,NLG,1.6405
2002-01-11,IEP,4.5904
2002-01-11,JPY,0.03068
2002-01-11,CAD,2.5355
2002-01-11,LUF,0.089618
2002-01-11,NOK,0.4551
2002-01-11,PTE,0.018033
2002-01-11,EUR,3.6152
2002-01-11,USD,4.0547
2002-01-11,CHF,2.4447
2002-01-11,SEK,0.3948
2002-01-11,HUF,0.014744
2002-01-11,GBP,5.8461
2002-01-11,ITL,0.001867
2002-01-11,EUR,3.6152
